ID,token,tipo token,Linha,Coluna,Referenciamento
1,int,PR:INT,1,1,
2,-,OPERADOR_ARITMETICO,1,5,
3,x123,PALAVRA RESERVADA,1,6,
4,",",VIRGULA,1,10,
5,y,PALAVRA RESERVADA,1,12,
6,=,ATRIBUICAO,1,13,
7,50,NUMERO,1,14,
8,",",VIRGULA,1,16,
9,w,PALAVRA RESERVADA,1,18,
10,;,PONTOVIRGULA,1,19,

11,float,PR:FLOAT,3,1,
12,valor,PALAVRA RESERVADA,3,7,
13,",",VIRGULA,3,12,
14,var,PALAVRA RESERVADA,3,14,
15,-,OPERADOR_ARITMETICO,3,17,
16,1,NUMERO,3,18,
17,=,ATRIBUICAO,3,19,
18,3.14,NUMERO FRACIONARIO,3,20,
19,",",VIRGULA,3,24,
20,pi,PALAVRA RESERVADA,3,26,
21,=,ATRIBUICAO,3,28,
22,3.14,NUMERO FRACIONARIO,3,30,
23,;,PONTOVIRGULA,3,34,

24,string,PR:STRING,5,1,
25,double,PR:DOUBLE,5,8,
26,char,PALAVRA RESERVADA,5,15,
27,float,PR:FLOAT,5,20,

28,auto,PR:AUTO,7,1,
29,break,PR:BREAK,7,6,
30,case,PR:CASE,7,12,
31,const,PR:CONST,7,17,
32,continue,PR:CONTINUE,7,23,
33,default,PR:DEFAULT,7,32,
34,do,PR:DO,7,40,
35,else,PR:ELSE,7,43,
36,enum,PR:ENUM,7,48,
37,extern,PR:EXTERN,7,53,
38,goto,PR:GOTO,7,60,
39,if,PR:IF,7,65,
40,long,PR:LONG,7,68,
41,register,PR:REGISTER,7,73,
42,return,PR:RETURN,7,82,
43,short,PR:SHORT,7,89,
44,signed,PR:SIGNED,7,95,
45,sizeof,PR:SIZEOF,7,102,
46,static,PR:STATIC,7,109,
47,struct,PR:STRUCT,7,116,
48,switch,PR:SWITCH,7,123,
49,typedef,PR:TYPEDEF,7,130,
50,union,PR:UNION,7,138,
51,unsigned,PR:UNSIGNED,7,144,
52,void,PR:VOID,7,153,
53,volatile,PR:VOLATILE,7,158,
54,while,PR:WHILE,7,167,

55,(,A.PAR,9,1,
56,1234,NUMERO,9,2,
57,{,A.CHA,9,6,
58,Rian,PALAVRA RESERVADA,9,7,
59,[,A.COL,9,11,
60,=,ATRIBUICAO,9,12,
61,-,OPERADOR_ARITMETICO,9,13,
62,",",VIRGULA,9,15,
63,],F.COL,9,16,59
64,},F.CHA,9,17,57
65,),F.PAR,9,18,55
